@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 30\nSize of the tree: 59\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

heart,2,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,268,29,26,3,0,89.655172,10.344828,0,0.789346,0.191662,0.305431,38.628365,61.388887,28.793911,13.92756,14.866351,0.992893,0.480261,0.512633,18.76718,0.647144,1884.182406,0.9375,15,0.153846,2,0.846154,11,0.0625,1,0.882353,0.9375,0.909091,0.911058,0.896552,0.112898,0.887102,0.103448,0.897735,0.896552,0.89605,0.911058,0.002,0,0.002468,0.00002,8199,40181,6482,'Number of leaves: 13\nSize of the tree: 25\n',25,13,13
heart,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,21,9,0,70,30,0,0.38914,0.332512,0.530146,66.850396,106.258753,29.906577,5385.931645,-5356.025068,0.996886,179.531055,-178.534169,10.340692,0.34469,1038.639892,0.8125,13,0.428571,6,0.571429,8,0.1875,3,0.684211,0.8125,0.742857,0.654018,0.7,0.316071,0.683929,0.3,0.704306,0.7,0.694857,0.654018,0.003,0,0.002336,0.000023,11087,40040,6623,'Number of leaves: 21\nSize of the tree: 41\n',41,21,21
heart,3,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,24,6,0,80,20,0,0.590909,0.239159,0.401502,48.082031,80.474271,29.906577,1091.130925,-1061.224347,0.996886,36.371031,-35.374145,16.024827,0.534161,1609.56588,0.9375,15,0.357143,5,0.642857,9,0.0625,1,0.75,0.9375,0.833333,0.825893,0.8,0.219643,0.780357,0.2,0.82,0.8,0.794444,0.825893,0.003,0,0.002446,0.00002,9643,40040,6623,'Number of leaves: 17\nSize of the tree: 33\n',33,17,17
heart,3,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,19,11,0,63.333333,36.666667,0,0.253394,0.404353,0.578096,81.293632,115.869382,29.906577,7531.405707,-7501.49913,0.996886,251.046857,-250.049971,6.085564,0.202852,611.246345,0.75,12,0.5,7,0.5,7,0.25,4,0.631579,0.75,0.685714,0.517857,0.633333,0.383333,0.616667,0.366667,0.633812,0.633333,0.627048,0.517857,0.003,0,0.00254,0.000023,9643,40040,6623,'Number of leaves: 17\nSize of the tree: 33\n',33,17,17
heart,3,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,24,6,0,80,20,0,0.598214,0.253639,0.43231,50.99314,86.649034,29.906577,2165.478725,-2135.572148,0.996886,72.182624,-71.185738,15.352839,0.511761,1542.070032,0.8125,13,0.214286,3,0.785714,11,0.1875,3,0.8125,0.8125,0.8125,0.772321,0.8,0.201786,0.798214,0.2,0.8,0.8,0.8,0.772321,0.002,0,0.002463,0.000022,9643,40040,6623,'Number of leaves: 17\nSize of the tree: 33\n',33,17,17
heart,3,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,23,7,0,76.666667,23.333333,0,0.533333,0.248425,0.460809,49.944918,92.36127,29.906577,3238.26189,-3208.355313,0.996886,107.942063,-106.945177,15.159358,0.505312,1522.636452,0.75,12,0.214286,3,0.785714,11,0.25,4,0.8,0.75,0.774194,0.816964,0.766667,0.230952,0.769048,0.233333,0.768889,0.766667,0.766926,0.816964,0.003,0,0.002404,0.000024,13975,40040,6623,'Number of leaves: 29\nSize of the tree: 57\n',57,29,29
heart,3,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,26,4,0,86.666667,13.333333,0,0.732143,0.204458,0.359279,41.105482,72.011276,29.906577,2158.766743,-2128.860166,0.996886,71.958891,-70.962006,18.583212,0.61944,1866.535228,0.875,14,0.142857,2,0.857143,12,0.125,2,0.875,0.875,0.875,0.828125,0.866667,0.134524,0.865476,0.133333,0.866667,0.866667,0.866667,0.828125,0.003,0,0.002502,0.000021,10365,40040,6623,'Number of leaves: 19\nSize of the tree: 37\n',37,19,19
heart,3,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,17,13,0,56.666667,43.333333,0,0.125561,0.428257,0.586766,86.099458,117.607161,29.906577,1113.210568,-1083.303991,0.996886,37.107019,-36.110133,4.056226,0.135208,407.41553,0.625,10,0.5,7,0.5,7,0.375,6,0.588235,0.625,0.606061,0.633929,0.566667,0.441667,0.558333,0.433333,0.565008,0.566667,0.565208,0.633929,0.002,0,0.002399,0.000021,8560,40040,6623,'Number of leaves: 14\nSize of the tree: 27\n',27,14,14
heart,3,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,268,29,23,6,0,79.310345,20.689655,0,0.587678,0.263905,0.412897,53.188642,82.988616,28.793911,22.992989,5.800922,0.992893,0.792862,0.200032,14.210603,0.490021,1426.712377,0.75,12,0.153846,2,0.846154,11,0.25,4,0.857143,0.75,0.8,0.826923,0.793103,0.19695,0.80305,0.206897,0.801642,0.793103,0.793596,0.826923,0.002,0.001,0.00254,0.00002,9282,40181,6482,'Number of leaves: 16\nSize of the tree: 31\n',31,16,16
heart,3,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,268,29,23,6,0,79.310345,20.689655,0,0.599078,0.24697,0.424042,49.775503,85.228771,28.793911,1093.751202,-1064.957291,0.992893,37.715559,-36.722665,14.95652,0.515742,1501.60077,0.625,10,0,0,1,13,0.375,6,1,0.625,0.769231,0.807692,0.793103,0.168103,0.831897,0.206897,0.858439,0.793103,0.788627,0.807692,0.003,0,0.002579,0.000023,9643,40181,6482,'Number of leaves: 17\nSize of the tree: 33\n',33,17,17
