@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

heart,2,10,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,268,29,26,3,0,89.655172,10.344828,0,0.786241,0.230172,0.315017,46.389961,63.315547,28.793911,13.489233,15.304678,0.992893,0.465146,0.527748,16.474497,0.568086,1654.002219,1,16,0.230769,3,0.769231,10,0,0,0.842105,1,0.914286,0.961538,0.896552,0.127321,0.872679,0.103448,0.912886,0.896552,0.894239,0.961538,0.609,0.011,0.608386,0.011066,5120375,40181,6482,?,0.182836
heart,3,1,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,25,5,0,83.333333,16.666667,0,0.660633,0.234067,0.354389,47.058246,71.031245,29.906577,16.115865,13.790712,0.996886,0.537195,0.45969,16.462317,0.548744,1653.508269,0.9375,15,0.285714,4,0.714286,10,0.0625,1,0.789474,0.9375,0.857143,0.928571,0.833333,0.181548,0.818452,0.166667,0.845295,0.833333,0.830476,0.928571,0.607,0.01,0.606626,0.010755,5020479,40040,6623,?,0.17603
heart,3,2,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,24,6,0,80,20,0,0.594595,0.273,0.354625,54.88565,71.078492,29.906577,16.871097,13.03548,0.996886,0.56237,0.434516,14.454768,0.481826,1451.866058,0.875,14,0.285714,4,0.714286,10,0.125,2,0.777778,0.875,0.823529,0.919643,0.8,0.210714,0.789286,0.2,0.803704,0.8,0.79819,0.919643,0.612,0.01,0.611221,0.010537,5022164,40040,6623,?,0.168539
heart,3,3,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,25,5,0,83.333333,16.666667,0,0.660633,0.3028,0.364659,60.876831,73.089701,29.906577,17.808051,12.098526,0.996886,0.593602,0.403284,12.678641,0.422621,1273.468228,0.9375,15,0.285714,4,0.714286,10,0.0625,1,0.789474,0.9375,0.857143,0.892857,0.833333,0.181548,0.818452,0.166667,0.845295,0.833333,0.830476,0.892857,0.603,0.011,0.602423,0.011274,4936952,40040,6623,?,0.164794
heart,3,4,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,26,4,0,86.666667,13.333333,0,0.734513,0.270967,0.372368,54.476856,74.634754,29.906577,18.728473,11.178104,0.996886,0.624282,0.372603,14.455525,0.481851,1451.942028,0.8125,13,0.071429,1,0.928571,13,0.1875,3,0.928571,0.8125,0.866667,0.901786,0.866667,0.125595,0.874405,0.133333,0.874405,0.866667,0.866667,0.901786,0.615,0.011,0.612649,0.011607,5032213,40040,6623,?,0.194757
heart,3,5,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,25,5,0,83.333333,16.666667,0,0.666667,0.246533,0.346541,49.564624,69.458239,29.906577,16.743676,13.162901,0.996886,0.558123,0.438763,16.00305,0.533435,1607.378588,0.8125,13,0.142857,2,0.857143,12,0.1875,3,0.866667,0.8125,0.83871,0.910714,0.833333,0.16369,0.83631,0.166667,0.835556,0.833333,0.833519,0.910714,0.625,0.011,0.620446,0.010694,5026024,40040,6623,?,0.172285
heart,3,6,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,27,3,0,90,10,0,0.798206,0.260867,0.32499,52.446288,65.138744,29.906577,14.776026,15.130551,0.996886,0.492534,0.504352,15.328132,0.510938,1539.588418,0.9375,15,0.142857,2,0.857143,12,0.0625,1,0.882353,0.9375,0.909091,0.973214,0.9,0.105357,0.894643,0.1,0.901357,0.9,0.899663,0.973214,0.65,0.013,0.645741,0.012735,5065364,40040,6623,?,0.179775
heart,3,7,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,20,10,0,66.666667,33.333333,0,0.324324,0.3427,0.445731,68.89858,89.339234,29.906577,23.70569,6.200887,0.996886,0.79019,0.206696,9.369804,0.312327,941.122025,0.75,12,0.428571,6,0.571429,8,0.25,4,0.666667,0.75,0.705882,0.794643,0.666667,0.345238,0.654762,0.333333,0.666667,0.666667,0.66365,0.794643,0.651,0.011,0.647343,0.010237,4788945,40040,6623,?,0.157303
heart,3,8,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,268,29,26,3,0,89.655172,10.344828,0,0.786241,0.233931,0.319562,47.14749,64.229144,28.793911,13.955843,14.838068,0.992893,0.481236,0.511658,16.320307,0.562769,1638.521945,1,16,0.230769,3,0.769231,10,0,0,0.842105,1,0.914286,0.925481,0.896552,0.127321,0.872679,0.103448,0.912886,0.896552,0.894239,0.925481,0.677,0.013,0.671475,0.013364,5151835,40181,6482,?,0.197761
heart,3,9,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,268,29,25,4,0,86.206897,13.793103,0,0.728972,0.255379,0.330644,51.47027,66.456592,28.793911,14.61235,14.181561,0.992893,0.503874,0.489019,14.951973,0.515585,1501.144323,0.75,12,0,0,1,13,0.25,4,1,0.75,0.857143,0.980769,0.862069,0.112069,0.887931,0.137931,0.894523,0.862069,0.861412,0.980769,0.684,0.014,0.680178,0.014135,5109635,40181,6482,?,0.179104
