@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 30\nSize of the tree: 59\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumPredictionLeaves numeric
@attribute measureNodesExpanded numeric
@attribute measureExamplesProcessed numeric
@attribute measureOutOfBagError numeric
@attribute measureNumRules numeric

@data

heart,2,10,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,268,29,25,4,0,86.206897,13.793103,0,0.717073,0.262739,0.342768,52.95351,68.893434,28.793911,15.564897,13.229015,0.992893,0.536721,0.456173,14.585974,0.502965,1464.398845,0.9375,15,0.230769,3,0.769231,10,0.0625,1,0.833333,0.9375,0.882353,0.923077,0.862069,0.155338,0.844662,0.137931,0.867294,0.862069,0.860379,0.923077,0.01,0,0.010103,0.000095,4633,40181,6482,?,31,21,15,98,12802,?,?
heart,3,1,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,25,5,0,83.333333,16.666667,0,0.660633,0.229467,0.328809,46.133597,65.90412,29.906577,15.201579,14.704998,0.996886,0.506719,0.490167,16.984435,0.566148,1705.950822,0.9375,15,0.285714,4,0.714286,10,0.0625,1,0.789474,0.9375,0.857143,0.921875,0.833333,0.181548,0.818452,0.166667,0.845295,0.833333,0.830476,0.921875,0.011,0,0.010529,0.000145,4633,40040,6623,?,31,21,15,97,12684,?,?
heart,3,2,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,23,7,0,76.666667,23.333333,0,0.524887,0.276487,0.365896,55.58666,73.337505,29.906577,17.444832,12.461745,0.996886,0.581494,0.415391,13.939888,0.464663,1400.150409,0.875,14,0.357143,5,0.642857,9,0.125,2,0.736842,0.875,0.8,0.908482,0.766667,0.24881,0.75119,0.233333,0.774801,0.766667,0.762667,0.908482,0.011,0,0.010419,0.000099,4633,40040,6623,?,31,21,15,94,12544,?,?
heart,3,3,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,24,6,0,80,20,0,0.60177,0.316394,0.385511,63.609953,77.269062,29.906577,19.348871,10.557706,0.996886,0.644962,0.351924,11.733939,0.391131,1178.580441,0.75,12,0.142857,2,0.857143,12,0.25,4,0.857143,0.75,0.8,0.866071,0.8,0.192857,0.807143,0.2,0.807143,0.8,0.8,0.866071,0.009,0,0.009134,0.00009,4633,40040,6623,?,31,21,15,91,12401,?,?
heart,3,4,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,21,9,0,70,30,0,0.405286,0.307127,0.40303,61.746842,80.780362,29.906577,20.165032,9.741545,0.996886,0.672168,0.324718,11.853357,0.395112,1190.575021,0.625,10,0.214286,3,0.785714,11,0.375,6,0.769231,0.625,0.689655,0.872768,0.7,0.289286,0.710714,0.3,0.712217,0.7,0.698999,0.872768,0.01,0.001,0.009284,0.000097,4635,40040,6623,?,31,21,14,95,12475,?,?
heart,3,5,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,25,5,0,83.333333,16.666667,0,0.663677,0.255445,0.327498,51.356343,65.641289,29.906577,15.196375,14.710202,0.996886,0.506546,0.49034,15.727377,0.524246,1579.68944,0.875,14,0.214286,3,0.785714,11,0.125,2,0.823529,0.875,0.848485,0.950893,0.833333,0.172619,0.827381,0.166667,0.834087,0.833333,0.832772,0.950893,0.01,0,0.009006,0.000084,4633,40040,6623,?,31,21,15,96,11957,?,?
heart,3,6,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,24,6,0,80,20,0,0.598214,0.272903,0.344333,54.86612,69.015732,29.906577,15.955791,13.950786,0.996886,0.53186,0.465026,14.325194,0.477506,1438.851343,0.8125,13,0.214286,3,0.785714,11,0.1875,3,0.8125,0.8125,0.8125,0.912946,0.8,0.201786,0.798214,0.2,0.8,0.8,0.8,0.912946,0.026,0,0.010931,0.000093,4631,40040,6623,?,31,21,16,95,12646,?,?
heart,3,7,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,20,10,0,66.666667,33.333333,0,0.324324,0.368663,0.456535,74.118419,91.504649,29.906577,25.167128,4.73945,0.996886,0.838904,0.157982,7.998461,0.266615,803.381561,0.75,12,0.428571,6,0.571429,8,0.25,4,0.666667,0.75,0.705882,0.75,0.666667,0.345238,0.654762,0.333333,0.666667,0.666667,0.66365,0.75,0.009,0,0.009003,0.000084,4631,40040,6623,?,31,21,16,94,12532,?,?
heart,3,8,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,268,29,26,3,0,89.655172,10.344828,0,0.786241,0.216207,0.304177,43.575278,61.13684,28.793911,13.029459,15.764452,0.992893,0.449292,0.543602,17.394122,0.599797,1746.330576,1,16,0.230769,3,0.769231,10,0,0,0.842105,1,0.914286,0.959135,0.896552,0.127321,0.872679,0.103448,0.912886,0.896552,0.894239,0.959135,0.009,0,0.009036,0.00008,4631,40181,6482,?,31,21,16,97,12704,?,?
heart,3,9,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,268,29,26,3,0,89.655172,10.344828,0,0.795294,0.267421,0.336405,53.897188,67.614534,28.793911,15.483307,13.310605,0.992893,0.533907,0.458986,14.530336,0.501046,1458.812903,0.8125,13,0,0,1,13,0.1875,3,1,0.8125,0.896552,0.947115,0.896552,0.084052,0.915948,0.103448,0.915948,0.896552,0.896552,0.947115,0.012,0,0.012259,0.000119,4633,40181,6482,?,31,21,15,98,12734,?,?
